match_id,data_video,titolo_video,url_video,par_totale,posizione,giocatore,punteggio_totale,diff_par,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18
1,2026-08-09,SDROGO GOLFATINA ALLA RICERCA DEL PROGETTO GABBINESS,https://youtu.be/-VpgGrDbnx0,61,1,Delux,49,-12,2,2,1,1,4,2,4,2,3,2,1,1,3,9,2,3,3,4
1,2026-08-09,SDROGO GOLFATINA ALLA RICERCA DEL PROGETTO GABBINESS,https://youtu.be/-VpgGrDbnx0,61,2,Mollu,61,0,1,4,1,1,3,4,2,1,5,1,1,5,4,2,4,14,2,6
1,2026-08-09,SDROGO GOLFATINA ALLA RICERCA DEL PROGETTO GABBINESS,https://youtu.be/-VpgGrDbnx0,61,3,Just Rohn,64,3,1,1,4,1,2,4,2,1,1,3,1,9,4,3,14,9,1,3
1,2026-08-09,SDROGO GOLFATINA ALLA RICERCA DEL PROGETTO GABBINESS,https://youtu.be/-VpgGrDbnx0,61,4,GaBBo,71,10,2,1,1,1,3,5,2,1,4,6,1,2,4,10,2,14,2,10
1,2026-08-09,SDROGO GOLFATINA ALLA RICERCA DEL PROGETTO GABBINESS,https://youtu.be/-VpgGrDbnx0,61,5,nonsonodread,78,17,2,3,6,1,2,3,1,1,5,3,1,14,4,1,14,14,1,2
2,2026-08-19,LA GOLFATINA DEI G**. [NUOVO STANDARD DI REGOLE],https://youtu.be/9Ht6yvEN_Pg,86,1,Just Rohn,117,31,1,12,8,6,3,8,3,2,9,14,6,6,4,6,5,12,1,11
2,2026-08-19,LA GOLFATINA DEI G**. [NUOVO STANDARD DI REGOLE],https://youtu.be/9Ht6yvEN_Pg,86,2,Delux,120,34,2,5,10,3,6,2,3,4,19,10,4,5,2,9,5,7,5,19
2,2026-08-19,LA GOLFATINA DEI G**. [NUOVO STANDARD DI REGOLE],https://youtu.be/9Ht6yvEN_Pg,86,3,Mollu,122,36,3,14,5,6,14,2,1,2,19,6,2,11,6,2,5,10,8,6
2,2026-08-19,LA GOLFATINA DEI G**. [NUOVO STANDARD DI REGOLE],https://youtu.be/9Ht6yvEN_Pg,86,4,nonsonodread,130,44,2,4,9,4,16,4,2,19,19,4,10,7,3,5,6,4,4,8
2,2026-08-19,LA GOLFATINA DEI G**. [NUOVO STANDARD DI REGOLE],https://youtu.be/9Ht6yvEN_Pg,86,5,GaBBo,181,95,2,7,7,4,3,19,3,2,19,19,6,13,12,19,11,11,5,19
3,2026-08-18,SDROGO GOLFATINA per il mio COMPLEANNO,https://youtu.be/VydxAl_uxBI,43,1,GaBBo,38,-5,4,1,6,2,1,1,2,1,2,2,2,2,2,3,3,1,2,1
3,2026-08-18,SDROGO GOLFATINA per il mio COMPLEANNO,https://youtu.be/VydxAl_uxBI,43,2,Just Rohn,45,2,2,3,1,3,2,1,1,6,3,3,2,3,2,2,4,3,3,1
3,2026-08-18,SDROGO GOLFATINA per il mio COMPLEANNO,https://youtu.be/VydxAl_uxBI,43,3,Delux,47,4,2,1,1,2,1,4,4,5,1,2,3,5,4,3,2,1,5,1
3,2026-08-18,SDROGO GOLFATINA per il mio COMPLEANNO,https://youtu.be/VydxAl_uxBI,43,4,nonsonodread,50,7,3,4,2,1,2,2,6,1,1,3,2,3,2,4,5,1,7,1
3,2026-08-18,SDROGO GOLFATINA per il mio COMPLEANNO,https://youtu.be/VydxAl_uxBI,43,5,JTaz,51,8,2,2,1,3,2,2,7,6,2,7,3,2,4,2,1,2,2,1
3,2026-08-18,SDROGO GOLFATINA per il mio COMPLEANNO,https://youtu.be/VydxAl_uxBI,43,6,Mollu,62,19,4,5,1,2,3,2,2,1,8,4,2,1,11,3,4,4,4,1
4,2026-08-11,LA GOLFATINA DELLA VERGOGNA!,https://youtu.be/K7ObaKslbM0,48,1,Just Rohn,42,-6,2,4,3,2,1,3,1,4,2,1,1,1,2,1,3,7,1,3
4,2026-08-11,LA GOLFATINA DELLA VERGOGNA!,https://youtu.be/K7ObaKslbM0,48,2,Mollu,55,7,2,2,2,1,1,5,1,6,3,1,2,4,8,2,3,7,3,3
4,2026-08-11,LA GOLFATINA DELLA VERGOGNA!,https://youtu.be/K7ObaKslbM0,48,3,nonsonodread,56,8,1,4,3,2,1,3,5,4,2,2,5,2,6,3,4,1,1,7
4,2026-08-11,LA GOLFATINA DELLA VERGOGNA!,https://youtu.be/K7ObaKslbM0,48,4,GaBBo,58,10,1,6,4,2,1,4,4,3,3,2,1,5,6,2,3,3,3,4
4,2026-08-11,LA GOLFATINA DELLA VERGOGNA!,https://youtu.be/K7ObaKslbM0,48,5,Delux,62,14,1,7,9,3,1,3,3,5,2,1,2,1,5,3,13,11,2,1
5,2026-09-01,C'É UN PO DI GOLFATINA IN QUESTA CENSURA.,https://youtu.be/LMg9XwLmyhs,62,1,nonsonodread,93,31,15,10,18,2,3,3,6,8,3,2,2,1,2,4,1,2,5,6
5,2026-09-01,C'É UN PO DI GOLFATINA IN QUESTA CENSURA.,https://youtu.be/LMg9XwLmyhs,62,1,Delux,93,31,12,11,8,3,4,5,6,10,4,2,4,2,3,4,1,5,5,4
5,2026-09-01,C'É UN PO DI GOLFATINA IN QUESTA CENSURA.,https://youtu.be/LMg9XwLmyhs,62,3,JTaz,96,34,8,13,9,1,4,7,10,6,4,2,5,2,2,3,4,7,4,5
5,2026-09-01,C'É UN PO DI GOLFATINA IN QUESTA CENSURA.,https://youtu.be/LMg9XwLmyhs,62,4,Just Rohn,101,39,6,11,8,2,3,6,7,18,4,2,8,2,2,3,7,3,6,3
6,2026-08-30,BENVENUTI ALL'INFERNO: SDROGO GOLFATINA DEMONIACA,https://youtu.be/xC_YNHOFDE4,90,1,ilMasseo,105,15,2,8,2,3,3,16,5,4,5,3,6,10,2,13,4,9,6,4
